Op,theta0,L0,omega,phi,ell,Oeq,Ub,Ut,Ua,Utotal,exitflag
2.31,3.62853951489621,0.226783719681013,4.57209768606106,1.21295479155586,0.0590725389089684,2.44419448048488,0.390685917263424,0.363225387536289,8.38062541585769e-05,0.753995111053872,2
2.32,3.64424747816416,0.22776546738526,4.57512886638337,1.21650020112853,0.0590946694368242,2.45385577793894,0.386702428229285,0.357741644703777,8.4708338127821e-05,0.74452878127119,2
2.33,3.65995544143211,0.228747215089507,4.5781272985434,1.22005659729991,0.0591170915977864,2.4634977028685,0.38266754527536,0.352213154414141,8.56134703898812e-05,0.734966313159891,2
2.34,3.67566340470006,0.229728962793754,4.58109349615867,1.22362453631301,0.0591398055944914,2.47312010583059,0.378581300529624,0.346641645013834,8.64982154280275e-05,0.725309443758886,2
2.35,3.69137136796801,0.230710710498,4.5840280461856,1.22720470000228,0.0591628054180421,2.48272311758048,0.37444401329566,0.341028514460374,8.73602827507948e-05,0.715559888038785,2
2.36,3.70707933123596,0.231692458202247,4.58693143655194,1.23079768941452,0.0591860920466147,2.49230658861057,0.370255678496997,0.335375450949408,8.8210100266836e-05,0.705719339546671,2
2.37,3.72278729450391,0.232674205906494,4.58980419366134,1.23440419214237,0.059209662378786,2.50187053533986,0.366016442773725,0.329683978518697,8.90497359408952e-05,0.695789471028363,2
2.38,3.73849525777185,0.233655953610741,4.59264682185303,1.23802491041772,0.0592335138887213,2.51141494194137,0.361726457082624,0.323955609497568,8.98684710199863e-05,0.685771935051212,2
2.39,3.7542032210398,0.234637701314988,4.59545980586483,1.24166056478381,0.0592576451827408,2.52093976606301,0.357385829299886,0.318191855785677,9.06795373239419e-05,0.675668364622887,2
2.4,3.76991118430775,0.235619449019234,4.59824362269429,1.24531191053906,0.0592820537430732,2.53044497717393,0.352994632342117,0.312394291765629,9.14496852459293e-05,0.665480373792992,2
2.41,3.7856191475757,0.236601196723481,4.60099871437363,1.24897970326152,0.0593067402499391,2.53993046179204,0.34855290094686,0.306564447711186,9.22096126019232e-05,0.655209558270648,2
